,Feature,Model,Accuracy,F1
0,BERT,LogisticRegression,0.6569850039463299,0.6764924817626917
1,BoW,RandomForestClassifier,0.5114443567482242,0.6628173003595162
2,Linguistic,RandomForestClassifier,0.5987371744277822,0.6496692392502756
3,TF-IDF,RandomForestClassifier,0.4879242304656669,0.6468539081210538
4,Word2Vec,RandomForestClassifier,0.6078926598263615,0.658321870701513
